District ID,District Name,Superintendent,School ID,School Name,Principal,Grades Offered,School Type,County,Total Enrollment,Pct Mobile Students 2015-16,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Pct of Students Attending Regularly,School Self-Contained Class Size,Oregon Self-Contained Class Size,School Departmentalized Class Size,Oregon Departmentalized Class Size,School ELA Class Size,Oregon ELA Class Size,School Math Class Size,Oregon Math Class Size,School Science Class Size,Oregon Science Class Size,School Social Studies Class Size,Oregon Social Studies Class Size,Pct Ever English Learners,Pct Economically Disadvantaged,Pct Students with Disabilities,Pct Asian,Pct Black,Pct Hispanic,Pct Native American,Pct Multi-racial,Pct Pacific Islander,Pct White,Number of Languages Spoken,School Rating,Percent with All Required Vaccinations,Percent without All Required Vaccinations,ESEA Designation,Rating Compared to Similar Schools,ELA Pct Met 2014-15,ELA Pct Met 2015-16,State ELA Pct Met,Like Schools ELA Pct Met,Math Pct Met 2014-15,Math Pct Met 2015-16,State Math Pct Met,Like Schools Math Pct Met,Science Pct Met 2012-13,Science Pct Met 2013-14,Science Pct Met 2014-15,Science Pct Met 2015-16,State Science Pct Met,Like Schools Science Pct Met,Freshmen On Track 2015-16,State Freshman On Track,Like Schools Freshman On Track,Freshmen On Track 2013-14,Freshmen On Track 2014-15,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,Four Year Graduation Rate 2014-15,State Four Year Graduation Rate,Like Schools Four Year Graduation Rate,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,Five Year Completion Rate 2014-15,State Five Year Completion Rate,Like Schools Five Year Completion Rate,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,Dropout Rate 2014-15,State Dropout Rate,Like Schools Dropout Rate,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,Continuing Education Rate 2013-14,State Continuing Education Rate,Like Schools Continuing Education Rate
1924,North Clackamas SD 12,Matt Utterback,78,Sunnyside Elementary School,Jennifer Dove-Kiltow,Grade(s) K-5,E,Clackamas,563,9.40%,376,187,--,90.90%,27,25,--,--,,,,,,,,,27%,39%,13%,12%,3%,15%,1%,8%,2%,61%,16,Not Rated,92,8,,Not Rated,60.3,58.8,52.4,60.9,44.1,53.2,44.9,51.4,70.2,58.1,67,85.4,66.5,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,North Clackamas SD 12,Matt Utterback,4714,Verne A Duncan Elementary School,Mason Branstetter,Grade(s) K-5,E,Clackamas,581,8.90%,378,203,--,89.30%,30,25,--,--,,,,,,,,,23%,40%,16%,3%,1%,23%,0,4%,<1%,69%,11,Not Rated,94,6,,Not Rated,59.1,52.5,52.4,61.2,48.5,49.3,44.9,51.7,73.2,73.8,67.5,58.9,66.5,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,North Clackamas SD 12,Matt Utterback,79,View Acres Elementary School,Mike Potter,Grade(s) K-5,E,Clackamas,450,11.10%,294,156,--,88.50%,29,25,--,--,,,,,,,,,12%,43%,17%,3%,1%,11%,1%,8%,1%,76%,11,Not Rated,96,4,,Not Rated,60.2,58.4,52.4,65,49,51.7,44.9,58.7,77.8,70.6,69.4,75.7,66.5,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,North Clackamas SD 12,Matt Utterback,72,Whitcomb Elementary School,Cathy Lehmann,Grade(s) K-5,E,Clackamas,447,18.50%,306,141,--,87.40%,24,25,--,--,,,,,,,,,44%,***,25%,2%,1%,46%,<1%,6%,1%,43%,14,Not Rated,94,6,,Not Rated,31.4,29.8,52.4,48.1,20.5,18.7,44.9,38.6,42.5,53.5,45.1,43.5,66.5,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,North Douglas SD 22,John Lahley,296,North Douglas Elementary School,Jody Cyr,Grade(s) K-8,E,Douglas,212,23.30%,94,56,62,85.10%,17,25,14,25,,,,,,,,,<5%,57%,14%,1%,1%,8%,4%,8%,0,77%,3,Not Rated,95,5,,Not Rated,44.7,49.6,54.5,42.3,44.3,45.8,43.9,33.1,84.5,93.8,69.8,81.5,65.2,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,North Douglas SD 22,John Lahley,297,North Douglas High School,Scott Yakovich,Grade(s) 9-12,H,Douglas,87,11.70%,,,,83.30%,--,--,,,14,24,10,24,13,26,11,27,*,47%,*,0,0,11%,1%,6%,0,82%,2,Not Rated,97,3,,Not Rated,76.5,58.3,70,79.3,41.2,41.7,34.2,37.9,60.9,50,64.7,>95,60,71.1,73.7,83.5,83.6,80.6,61.5,69,78.3,92.9,88.9,73.8,80.8,92.5,82.1,95.7,92.9,81.6,85.8,6,5,0.9,1,4.3,2.6,45.5,60.9,73.7,57.7,59.4,55.1
2061,North Lake SD 14,Dave Kerr,1289,North Lake School,Dave Kerr,Grade(s) K-12,H,Lake,218,27.10%,,,,72.50%,17,25,,,16,24,7,24,10,26,13.5,27,*,72%,23%,1%,1%,11%,1%,1%,2%,82%,1,Not Rated,93,7,,Not Rated,39.8,58.9,56.5,51.8,25,39.3,42.7,28.8,58.8,67.6,56.4,64.4,63.7,54.3,77.3,83.5,73.4,70,77.8,90,73.7,92.9,82.4,73.8,74.2,100,90,81,92.9,81.6,83.4,1.5,1.4,2.7,0,4.3,4,50,38.9,46.7,53.8,59.4,50.3
2141,North Marion SD 15,Boyd Keyser,726,North Marion High School,Cherie Stroud,Grade(s) 9-12,H,Marion,589,15.30%,,,,86.20%,--,--,,,23,24,21,24,25,26,25,27,36%,56%,14%,1%,1%,45%,1%,2%,<1%,50%,7,Not Rated,90,10,,Not Rated,82.7,76.7,70,65.1,17,27.3,34.2,26.9,58.5,54.4,67.1,69.8,60,54.8,75.8,83.5,84.9,85.2,76.7,87.6,78.6,82.9,81.3,73.8,80.1,94.8,94.8,92.1,89.2,81.6,86.4,1.2,0.8,2,2.9,4.3,1.8,48.4,56.3,51.9,63,59.4,58.9
2141,North Marion SD 15,Boyd Keyser,724,North Marion Intermediate School,Julie Jackson,Grade(s) 3-5,E,Marion,462,7.80%,146,316,--,84.70%,26,25,27,25,,,,,,,,,37%,66%,19%,1%,0,45%,1%,2%,0,51%,4,Not Rated,98,2,,Not Rated,34,37.9,52.4,49,26.2,27.6,44.9,38.6,66.2,67.9,60.6,63.1,66.5,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,North Marion SD 15,Boyd Keyser,725,North Marion Middle School,Barb Keeton,Grade(s) 6-8,M,Marion,455,7.80%,,,,86.20%,--,--,,,24,24,21,24,26,26,21.5,27,38%,61%,17%,1%,0,47%,1%,2%,<1%,49%,6,Not Rated,94,6,,Not Rated,41,49.4,56.7,51.6,23.9,22.2,42.8,38.4,64.1,56.5,60.1,61.6,63.8,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,North Marion SD 15,Boyd Keyser,3146,North Marion Primary School,Julie Jackson,Grade(s) PK-2,E,Marion,417,12.50%,417,--,--,87.30%,24,25,52,25,,,,,,,,,37%,67%,12%,<1%,0,50%,1%,2%,<1%,46%,7,Not Rated,92,8,,Not Rated,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,North Powder SD 8J,Lance Dixon,3365,North Powder Charter School,Paul Woodworth,Grade(s) K-12,H,Union,261,12.50%,,,,79.30%,20,25,,,15,24,12,24,11,26,21,27,8%,59%,18%,0,1%,13%,2%,1%,0,83%,2,Not Rated,95,5,,Not Rated,45.2,43.6,56.5,60.4,29.3,27.7,42.7,33.9,55.9,61,37.3,32.3,63.7,60.5,>95,83.5,80.8,>95,>95,85.7,87.5,90,100,73.8,82,94.1,100,100,100,81.6,87.4,0,0,1.2,0,4.3,2.2,53.3,76.9,46.7,72.2,59.4,54
2143,North Santiam SD 29J,Andrew Gardner,656,Mari-Linn Elementary School,Jeri Harbison,Grade(s) K-8,E,Linn,211,19.60%,99,39,73,81.10%,29,25,73,25,,,,,,,,,*,58%,22%,0,1%,2%,<1%,4%,<1%,92%,2,Not Rated,96,4,,Not Rated,53,52.7,54.5,52,44.9,45,43.9,40.9,76.5,74,80,84.1,65.2,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,North Santiam SD 29J,Andrew Gardner,788,Stayton Elementary School,Wendy Moore,Grade(s) K-3,E,Marion,405,19.50%,405,--,--,81.90%,23.5,25,24,25,,,,,,,,,15%,70%,14%,<1%,<1%,23%,1%,5%,1%,70%,2,Not Rated,97,3,,Not Rated,39.3,34.1,48.5,--,26.4,35.3,48.7,--,*,*,*,*,*,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,North Santiam SD 29J,Andrew Gardner,809,Stayton High School,Alan Kirby,Grade(s) 9-12,H,Marion,687,13.70%,,,,71.80%,--,--,,,16,24,20,24,26,26,24.5,27,9%,52%,14%,<1%,1%,17%,1%,3%,<1%,77%,4,Not Rated,97,3,,Not Rated,63.1,58.2,70,76.6,27.5,31.1,34.2,33,70.6,74,58.8,55.3,60,62.7,79,83.5,84.5,64.5,67.8,70.1,72.8,80.6,78.2,73.8,82.1,78.6,84.8,87.6,88.3,81.6,87.7,1.9,1.7,3,4.1,4.3,2.3,57.6,52,45.5,57.3,59.4,58.4
2143,North Santiam SD 29J,Andrew Gardner,789,Stayton Middle School,Michael Proctor,Grade(s) 4-8,M,Marion,579,12.40%,,,,81.40%,24,25,,,25,24,27,24,25.5,26,19,27,19%,67%,15%,1%,2%,24%,1%,4%,1%,69%,4,Not Rated,97,3,,Not Rated,50.4,51,55.8,58.1,34.3,32.3,42.9,43.6,50.5,68,61.8,67.3,65.2,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
