SCHLINSTID,SCHLYR,CNTYGEOGAREAID,DISTINSTID,STUDENRCNT,DISTSTUDENRCNT,CntyStudEnrCnt,FREELNCHCNT,DISTFREELNCHCNT,CntyFreeLnchCnt,REDLNCHCNT,DISTREDLNCHCNT,CntyRedLnchCnt,TOTELGBLAMT,DISTTOTELGBLAMT,CntyTotElgblAmt,FREEREDLNCHPCT,DISTFREEREDLNCHPCT,CntyFreeRedLnchPct,CNTYNM,DISTNM,SCHLNM,last column
3469,"7/1/2001",34,2239,,18519,75534,,4410,14182,,1234,4517,0,5644,18699,0,30.48,24.76,"WASHINGTON","Hillsboro SD 1J","Miller Education Ctr 9-12",-
3470,"7/1/2001",20,2082,21,18476,48113,,3726,13168,,852,3696,7,4578,16864,,24.78,35.05,"LANE","Eugene SD 4J","North Eugene Alternative High School",-
3470,"7/1/2002",20,2082,29,18735,48176,11,3957,14057,,878,3728,16,4835,17785,,25.81,36.92,"LANE","Eugene SD 4J","North Eugene Alternative High School",-
3470,"7/1/2003",20,2082,39,18476,47783,10,4168,14859,,874,3766,15,5042,18625,,27.29,38.98,"LANE","Eugene SD 4J","North Eugene Alternative High School",-
3470,"7/1/2004",20,2082,42,18404,47560,23,4862,15584,,980,3934,25,5842,19518,,31.74,41.04,"LANE","Eugene SD 4J","North Eugene Alternative High School",-
1083,"7/1/2008",31,2217,154,415,3829,53,161,1220,13,53,401,66,214,1621,42.86,51.57,42.33,"Union","Elgin SD 23","Elgin High School",-
1084,"7/1/2008",32,2219,5,238,866,,85,261,,35,135,2,120,396,,50.42,45.73,"Wallowa","Joseph SD 6","Imnaha Elementary School",-
1085,"7/1/2008",32,2219,85,238,866,33,85,261,8,35,135,41,120,396,48.24,50.42,45.73,"Wallowa","Joseph SD 6","Joseph Elementary School",-
1086,"7/1/2008",32,2219,60,238,866,24,85,261,9,35,135,33,120,396,55,50.42,45.73,"Wallowa","Joseph SD 6","Joseph Middle School",-
1087,"7/1/2008",32,2219,83,238,866,28,85,261,16,35,135,44,120,396,53.01,50.42,45.73,"Wallowa","Joseph SD 6","Joseph High School",-
1088,"7/1/2008",32,2220,123,234,866,40,76,261,24,37,135,64,113,396,52.03,48.29,45.73,"Wallowa","Wallowa SD 12","Wallowa Elementary School",-
1089,"7/1/2008",32,2220,111,234,866,36,76,261,13,37,135,49,113,396,44.14,48.29,45.73,"Wallowa","Wallowa SD 12","Wallowa High School",-
