SCHLINSTID,SCHLYR,CNTYGEOGAREAID,DISTINSTID,STUDENRCNT,DISTSTUDENRCNT,CntyStudEnrCnt,FREELNCHCNT,DISTFREELNCHCNT,CntyFreeLnchCnt,REDLNCHCNT,DISTREDLNCHCNT,CntyRedLnchCnt,TOTELGBLAMT,DISTTOTELGBLAMT,CntyTotElgblAmt,FREEREDLNCHPCT,DISTFREEREDLNCHPCT,CntyFreeRedLnchPct,CNTYNM,DISTNM,SCHLNM,last column
253,"7/1/1998",9,1976,431,12363,12363,135,2557,2557,60,1081,1081,195,3638,3638,45.24,29.43,29.43,"DESCHUTES","Bend-LaPine Administrative SD 1","LAPINE HIGH SCHOOL",-
306,"7/1/1997",10,2000,268,542,542,,97,97,,41,41,0,138,138,0,25.46,25.46,"DOUGLAS","Glendale SD 77","GLENDALE ELEM SCHOOL",-
306,"7/1/1998",10,2000,273,537,537,188,331,331,45,83,83,233,414,414,85.35,77.09,77.09,"DOUGLAS","Glendale SD 77","GLENDALE ELEM SCHOOL",-
307,"7/1/1997",10,2000,274,542,542,97,97,97,41,41,41,138,138,138,50.36,25.46,25.46,"DOUGLAS","Glendale SD 77","GLENDALE HIGH SCHOOL",-
307,"7/1/1998",10,2000,264,537,537,143,331,331,38,83,83,181,414,414,68.56,77.09,77.09,"DOUGLAS","Glendale SD 77","GLENDALE HIGH SCHOOL",-
361,"7/1/1997",14,2024,406,3722,3722,,1088,1088,,171,171,0,1259,1259,0,33.83,33.83,"HOOD RIVER","Hood River County SD","HOOD RIVER MIDDLE SCHOOL",-
361,"7/1/1998",14,2024,433,3788,3788,143,1298,1298,31,291,291,174,1589,1589,40.18,41.95,41.95,"HOOD RIVER","Hood River County SD","HOOD RIVER MIDDLE SCHOOL",-
362,"7/1/1997",14,2024,389,3722,3722,176,1088,1088,22,171,171,198,1259,1259,50.9,33.83,33.83,"HOOD RIVER","Hood River County SD","MAY STREET ELEM SCHOOL",-
362,"7/1/1998",14,2024,396,3788,3788,164,1298,1298,34,291,291,198,1589,1589,50,41.95,41.95,"HOOD RIVER","Hood River County SD","MAY STREET ELEM SCHOOL",-
363,"7/1/1997",14,2024,418,3722,3722,162,1088,1088,44,171,171,206,1259,1259,49.28,33.83,33.83,"HOOD RIVER","Hood River County SD","MID VALLEY ELEM SCHOOL",-
363,"7/1/1998",14,2024,416,3788,3788,164,1298,1298,55,291,291,219,1589,1589,52.64,41.95,41.95,"HOOD RIVER","Hood River County SD","MID VALLEY ELEM SCHOOL",-
364,"7/1/1997",14,2024,304,3722,3722,142,1088,1088,19,171,171,161,1259,1259,52.96,33.83,33.83,"HOOD RIVER","Hood River County SD","PARKDALE ELEM SCHOOL",-
364,"7/1/1998",14,2024,311,3788,3788,134,1298,1298,29,291,291,163,1589,1589,52.41,41.95,41.95,"HOOD RIVER","Hood River County SD","PARKDALE ELEM SCHOOL",-
365,"7/1/1997",14,2024,135,3722,3722,93,1088,1088,10,171,171,103,1259,1259,76.3,33.83,33.83,"HOOD RIVER","Hood River County SD","PINE GROVE ELEM SCHOOL",-
365,"7/1/1998",14,2024,132,3788,3788,94,1298,1298,7,291,291,101,1589,1589,76.52,41.95,41.95,"HOOD RIVER","Hood River County SD","PINE GROVE ELEM SCHOOL",-
366,"7/1/1997",14,2024,426,3722,3722,122,1088,1088,23,171,171,145,1259,1259,34.04,33.83,33.83,"HOOD RIVER","Hood River County SD","WESTSIDE ELEM SCHOOL",-
366,"7/1/1998",14,2024,422,3788,3788,130,1298,1298,28,291,291,158,1589,1589,37.44,41.95,41.95,"HOOD RIVER","Hood River County SD","WESTSIDE ELEM SCHOOL",-
367,"7/1/1997",14,2024,389,3722,3722,166,1088,1088,24,171,171,190,1259,1259,48.84,33.83,33.83,"HOOD RIVER","Hood River County SD","WY'EAST MIDDLE SCHOOL",-
367,"7/1/1998",14,2024,384,3788,3788,176,1298,1298,33,291,291,209,1589,1589,54.43,41.95,41.95,"HOOD RIVER","Hood River County SD","WY'EAST MIDDLE SCHOOL",-
369,"7/1/1997",14,2024,1034,3722,3722,227,1088,1088,29,171,171,256,1259,1259,24.76,33.83,33.83,"HOOD RIVER","Hood River County SD","HOOD RIVER VALLEY HIGH SC",-
369,"7/1/1998",14,2024,1069,3788,3788,258,1298,1298,52,291,291,310,1589,1589,29,41.95,41.95,"HOOD RIVER","Hood River County SD","HOOD RIVER VALLEY HIGH SC",-
489,"7/1/1997",19,2059,51,1114,1114,,,,,,,0,,,0,,,"LAKE","Lake County SD 7","UNION ELEMENTARY",-
489,"7/1/1998",19,2059,53,1039,1039,31,344,344,7,96,96,38,440,440,71.7,42.35,42.35,"LAKE","Lake County SD 7","UNION ELEMENTARY",-
490,"7/1/1997",19,2059,432,1114,1114,,,,,,,0,,,0,,,"LAKE","Lake County SD 7","FREMONT/HAY ELEM SCHOOL",-
490,"7/1/1998",19,2059,385,1039,1039,121,344,344,35,96,96,156,440,440,40.52,42.35,42.35,"LAKE","Lake County SD 7","FREMONT/HAY ELEM SCHOOL",-
491,"7/1/1997",19,2059,278,1114,1114,,,,,,,0,,,0,,,"LAKE","Lake County SD 7","DALY MIDDLE SCHOOL",-
491,"7/1/1998",19,2059,246,1039,1039,70,344,344,15,96,96,85,440,440,34.55,42.35,42.35,"LAKE","Lake County SD 7","DALY MIDDLE SCHOOL",-
492,"7/1/1997",19,2059,353,1114,1114,,,,,,,0,,,0,,,"LAKE","Lake County SD 7","LAKEVIEW HIGH SCHOOL",-
492,"7/1/1998",19,2059,355,1039,1039,122,344,344,39,96,96,161,440,440,45.35,42.35,42.35,"LAKE","Lake County SD 7","LAKEVIEW HIGH SCHOOL",-
503,"7/1/1997",20,2082,176,18832,18832,53,3469,3469,11,779,779,64,4248,4248,36.36,22.56,22.56,"LANE","Eugene SD 4J","ADAMS ELEM SCHOOL",-
503,"7/1/1998",20,2082,162,18636,18636,51,3264,3264,10,719,719,61,3983,3983,37.65,21.37,21.37,"LANE","Eugene SD 4J","ADAMS ELEM SCHOOL",-
504,"7/1/1997",20,2082,355,18832,18832,76,3469,3469,29,779,779,105,4248,4248,29.58,22.56,22.56,"LANE","Eugene SD 4J","AWBREY PARK ELEM SCHOOL",-
504,"7/1/1998",20,2082,342,18636,18636,68,3264,3264,31,719,719,99,3983,3983,28.95,21.37,21.37,"LANE","Eugene SD 4J","AWBREY PARK ELEM SCHOOL",-
505,"7/1/1997",20,2082,263,18832,18832,98,3469,3469,18,779,779,116,4248,4248,44.11,22.56,22.56,"LANE","Eugene SD 4J","Bailey Hill Elem School",-
505,"7/1/1998",20,2082,233,18636,18636,90,3264,3264,18,719,719,108,3983,3983,46.35,21.37,21.37,"LANE","Eugene SD 4J","Bailey Hill Elem School",-
506,"7/1/1997",20,2082,577,18832,18832,81,3469,3469,31,779,779,112,4248,4248,19.41,22.56,22.56,"LANE","Eugene SD 4J","CAL YOUNG MIDDLE SCHOOL",-
506,"7/1/1998",20,2082,593,18636,18636,65,3264,3264,11,719,719,76,3983,3983,12.82,21.37,21.37,"LANE","Eugene SD 4J","CAL YOUNG MIDDLE SCHOOL",-
507,"7/1/1997",20,2082,160,18832,18832,44,3469,3469,21,779,779,65,4248,4248,40.63,22.56,22.56,"LANE","Eugene SD 4J","COBURG ELEM SCHOOL",-
507,"7/1/1998",20,2082,152,18636,18636,39,3264,3264,18,719,719,57,3983,3983,37.5,21.37,21.37,"LANE","Eugene SD 4J","COBURG ELEM SCHOOL",-
508,"7/1/1997",20,2082,277,18832,18832,11,3469,3469,,779,779,13,4248,4248,,22.56,22.56,"LANE","Eugene SD 4J","CREST DRIVE ELEM SCHOOL",-
508,"7/1/1998",20,2082,265,18636,18636,6,3264,3264,,719,719,8,3983,3983,,21.37,21.37,"LANE","Eugene SD 4J","CREST DRIVE ELEM SCHOOL",-
509,"7/1/1997",20,2082,107,18832,18832,,3469,3469,,779,779,5,4248,4248,,22.56,22.56,"LANE","Eugene SD 4J","EVERGREEN ALTERNATIVE",-
509,"7/1/1998",20,2082,108,18636,18636,,3264,3264,,719,719,3,3983,3983,,21.37,21.37,"LANE","Eugene SD 4J","EVERGREEN ALTERNATIVE",-
510,"7/1/1997",20,2082,295,18832,18832,48,3469,3469,9,779,779,57,4248,4248,19.32,22.56,22.56,"LANE","Eugene SD 4J","EDISON ELEM SCHOOL",-
510,"7/1/1998",20,2082,301,18636,18636,60,3264,3264,8,719,719,68,3983,3983,22.59,21.37,21.37,"LANE","Eugene SD 4J","EDISON ELEM SCHOOL",-
511,"7/1/1997",20,2082,225,18832,18832,49,3469,3469,9,779,779,58,4248,4248,25.78,22.56,22.56,"LANE","Eugene SD 4J","ELLIS PARKER ELEM SCHOOL",-
511,"7/1/1998",20,2082,190,18636,18636,37,3264,3264,,719,719,41,3983,3983,,21.37,21.37,"LANE","Eugene SD 4J","ELLIS PARKER ELEM SCHOOL",-
512,"7/1/1997",20,2082,107,18832,18832,46,3469,3469,,779,779,51,4248,4248,,22.56,22.56,"LANE","Eugene SD 4J","WILLARD ELEM SCHOOL",-
512,"7/1/1998",20,2082,91,18636,18636,33,3264,3264,7,719,719,40,3983,3983,43.96,21.37,21.37,"LANE","Eugene SD 4J","WILLARD ELEM SCHOOL",-
513,"7/1/1997",20,2082,499,18832,18832,73,3469,3469,25,779,779,98,4248,4248,19.64,22.56,22.56,"LANE","Eugene SD 4J","GILHAM ELEM SCHOOL",-
513,"7/1/1998",20,2082,461,18636,18636,68,3264,3264,,719,719,73,3983,3983,,21.37,21.37,"LANE","Eugene SD 4J","GILHAM ELEM SCHOOL",-
794,"7/1/2005",24,2145,241,799,58187,,303,23394,,56,4773,0,359,28167,,44.93,48.41,"Marion","Mt Angel SD 91","John F Kennedy High School",-
795,"7/1/2005",24,2138,147,3604,58187,44,1022,23394,16,249,4773,60,1271,28167,40.82,35.27,48.41,"Marion","Silver Falls SD 4J","Silver Crest Elementary School",-
796,"7/1/2005",24,2146,448,4830,58187,388,3656,23394,35,475,4773,423,4131,28167,94.42,85.53,48.41,"Marion","Woodburn SD 103","Nellie Muir Elementary School",-
797,"7/1/2005",24,2146,557,4830,58187,504,3656,23394,22,475,4773,526,4131,28167,94.43,85.53,48.41,"Marion","Woodburn SD 103","Washington Elementary School",-
800,"7/1/2005",24,2146,1316,4830,58187,851,3656,23394,130,475,4773,981,4131,28167,74.54,85.53,48.41,"Marion","Woodburn SD 103","Woodburn High School",-
805,"7/1/2005",24,2138,81,3604,58187,29,1022,23394,12,249,4773,41,1271,28167,50.62,35.27,48.41,"Marion","Silver Falls SD 4J","Monitor Elementary School",-
806,"7/1/2005",24,2139,134,2245,58187,20,775,23394,7,185,4773,27,960,28167,20.15,42.76,48.41,"Marion","Cascade SD 5","Cloverdale Elementary School",-
807,"7/1/2005",24,2138,149,3604,58187,33,1022,23394,,249,4773,33,1271,28167,,35.27,48.41,"Marion","Silver Falls SD 4J","Central Howell Elementary School",-
808,"7/1/2005",24,2137,312,1096,58187,169,699,23394,28,93,4773,197,792,28167,63.14,72.26,48.41,"Marion","Gervais SD 1","Gervais High School",-
809,"7/1/2005",24,2143,783,2452,58187,209,871,23394,73,261,4773,282,1132,28167,36.02,46.17,48.41,"Marion","North Santiam SD 29J","Stayton High School",-
810,"7/1/2005",24,2139,541,2245,58187,196,775,23394,40,185,4773,236,960,28167,43.62,42.76,48.41,"Marion","Cascade SD 5","Cascade Junior High School",-
811,"7/1/2005",24,2139,778,2245,58187,214,775,23394,57,185,4773,271,960,28167,34.83,42.76,48.41,"Marion","Cascade SD 5","Cascade Senior High School",-
812,"7/1/2005",24,2138,1183,3604,58187,248,1022,23394,77,249,4773,325,1271,28167,27.47,35.27,48.41,"Marion","Silver Falls SD 4J","Silverton High School",-
813,"7/1/2005",25,2147,331,2193,2367,226,1242,1298,49,250,263,275,1492,1561,83.08,68.03,65.95,"Morrow","Morrow SD 1","A C Houghton Elementary School",-
814,"7/1/2005",25,2147,417,2193,2367,294,1242,1298,42,250,263,336,1492,1561,80.58,68.03,65.95,"Morrow","Morrow SD 1","Sam Boardman Elementary School",-
815,"7/1/2005",25,2147,188,2193,2367,54,1242,1298,32,250,263,86,1492,1561,45.74,68.03,65.95,"Morrow","Morrow SD 1","Heppner Elementary School",-
817,"7/1/2005",25,2147,294,2193,2367,174,1242,1298,40,250,263,214,1492,1561,72.79,68.03,65.95,"Morrow","Morrow SD 1","Irrigon Junior/Senior High School",-
818,"7/1/2005",25,2147,224,2193,2367,47,1242,1298,22,250,263,69,1492,1561,30.8,68.03,65.95,"Morrow","Morrow SD 1","Heppner Junior/Senior High School",-
820,"7/1/2005",25,2147,455,2193,2367,235,1242,1298,33,250,263,268,1492,1561,58.9,68.03,65.95,"Morrow","Morrow SD 1","Riverside Junior/Senior High School",-
822,"7/1/2005",26,2180,366,44953,89245,76,16990,35481,18,3602,7898,94,20592,43379,25.68,45.81,48.61,"Multnomah","Portland SD 1J","Abernethy Elementary School",-
823,"7/1/2005",26,2180,491,44953,89245,13,16990,35481,9,3602,7898,22,20592,43379,4.48,45.81,48.61,"Multnomah","Portland SD 1J","Ainsworth Elementary School",-
824,"7/1/2005",26,2180,669,44953,89245,55,16990,35481,30,3602,7898,85,20592,43379,12.71,45.81,48.61,"Multnomah","Portland SD 1J","Alameda Elementary School",-
826,"7/1/2005",26,2180,313,44953,89245,175,16990,35481,50,3602,7898,225,20592,43379,71.88,45.81,48.61,"Multnomah","Portland SD 1J","Arleta Elementary School",-
827,"7/1/2005",26,2180,279,44953,89245,112,16990,35481,23,3602,7898,135,20592,43379,48.39,45.81,48.61,"Multnomah","Portland SD 1J","Astor Elementary School",-
828,"7/1/2005",26,2180,558,44953,89245,213,16990,35481,47,3602,7898,260,20592,43379,46.59,45.81,48.61,"Multnomah","Portland SD 1J","Atkinson Elementary School",-
829,"7/1/2005",26,2180,271,44953,89245,200,16990,35481,34,3602,7898,234,20592,43379,86.35,45.81,48.61,"Multnomah","Portland SD 1J","Rosa Parks Elementary School",-
830,"7/1/2005",26,2180,414,44953,89245,240,16990,35481,43,3602,7898,283,20592,43379,68.36,45.81,48.61,"Multnomah","Portland SD 1J","Beach Elementary School",-
831,"7/1/2005",26,2180,536,44953,89245,185,16990,35481,54,3602,7898,239,20592,43379,44.59,45.81,48.61,"Multnomah","Portland SD 1J","Beaumont Middle School",-
832,"7/1/2005",26,2180,680,44953,89245,458,16990,35481,98,3602,7898,556,20592,43379,81.76,45.81,48.61,"Multnomah","Portland SD 1J","Binnsmead Middle School",-
833,"7/1/2005",26,2180,461,44953,89245,308,16990,35481,56,3602,7898,364,20592,43379,78.96,45.81,48.61,"Multnomah","Portland SD 1J","Boise-Eliot Elementary School",-
834,"7/1/2005",26,2180,388,44953,89245,195,16990,35481,40,3602,7898,235,20592,43379,60.57,45.81,48.61,"Multnomah","Portland SD 1J","Bridger Elementary School",-
835,"7/1/2005",26,2180,459,44953,89245,52,16990,35481,16,3602,7898,68,20592,43379,14.81,45.81,48.61,"Multnomah","Portland SD 1J","Bridlemile Elementary School",-
837,"7/1/2005",26,2180,537,44953,89245,83,16990,35481,25,3602,7898,108,20592,43379,20.11,45.81,48.61,"Multnomah","Portland SD 1J","Buckman Elementary School",-
838,"7/1/2005",26,2180,335,44953,89245,95,16990,35481,23,3602,7898,118,20592,43379,35.22,45.81,48.61,"Multnomah","Portland SD 1J","Capitol Hill Elementary School",-
839,"7/1/2005",26,2180,453,44953,89245,106,16990,35481,9,3602,7898,115,20592,43379,25.39,45.81,48.61,"Multnomah","Portland SD 1J","Chapman Elementary School",-
841,"7/1/2005",26,2180,325,44953,89245,261,16990,35481,24,3602,7898,285,20592,43379,87.69,45.81,48.61,"Multnomah","Portland SD 1J","Clarendon-Portsmouth School",-
842,"7/1/2005",26,2180,500,44953,89245,317,16990,35481,74,3602,7898,391,20592,43379,78.2,45.81,48.61,"Multnomah","Portland SD 1J","Clark Elementary School",-
843,"7/1/2005",26,2180,290,44953,89245,167,16990,35481,29,3602,7898,196,20592,43379,67.59,45.81,48.61,"Multnomah","Portland SD 1J","Creston Elementary School",-
844,"7/1/2005",26,2180,443,44953,89245,53,16990,35481,8,3602,7898,61,20592,43379,13.77,45.81,48.61,"Multnomah","Portland SD 1J","Duniway Elementary School",-
847,"7/1/2005",26,2180,309,44953,89245,195,16990,35481,40,3602,7898,235,20592,43379,76.05,45.81,48.61,"Multnomah","Portland SD 1J","Faubion Elementary School",-
848,"7/1/2005",26,2180,466,44953,89245,101,16990,35481,26,3602,7898,127,20592,43379,27.25,45.81,48.61,"Multnomah","Portland SD 1J","Fernwood Middle School",-
849,"7/1/2005",26,2180,403,44953,89245,286,16990,35481,42,3602,7898,328,20592,43379,81.39,45.81,48.61,"Multnomah","Portland SD 1J","George Middle School",-
850,"7/1/2005",26,2180,510,44953,89245,115,16990,35481,18,3602,7898,133,20592,43379,26.08,45.81,48.61,"Multnomah","Portland SD 1J","Glencoe Elementary School",-
852,"7/1/2005",26,2180,496,44953,89245,100,16990,35481,24,3602,7898,124,20592,43379,25,45.81,48.61,"Multnomah","Portland SD 1J","Gray Middle School",-
853,"7/1/2005",26,2180,691,44953,89245,369,16990,35481,75,3602,7898,444,20592,43379,64.25,45.81,48.61,"Multnomah","Portland SD 1J","Gregory Heights Middle School",-
1822,"7/1/2007",26,2180,,44496,89783,,15761,35283,,3414,8073,0,19175,43356,0,43.09,48.29,"Multnomah","Portland SD 1J","Portland Street Academy",-
1824,"7/1/2007",26,2187,,10325,89783,,5931,35283,,1318,8073,0,7249,43356,0,70.21,48.29,"Multnomah","David Douglas SD 40","School for Non-Schooled Youth",-
1827,"7/1/2007",24,3477,182,858,60051,,,25077,,,5055,0,0,30132,,,50.18,"Marion","ODE YCEP District","Robert S Farrell High School",-
1828,"7/1/2007",24,3477,319,858,60051,,,25077,,,5055,0,0,30132,,,50.18,"Marion","ODE YCEP District","William P Lord High School",-
1830,"7/1/2007",24,2777,,,60051,,,25077,,,5055,0,,30132,0,,50.18,"Marion","Bureau of Indian Affairs","Chemawa Indian School",-
1831,"7/1/2007",24,2336,30,325,60051,10,114,25077,,32,5055,12,146,30132,,44.92,50.18,"Marion","Oregon Department of Education","Oregon School for the Blind",-
1832,"7/1/2007",24,2336,117,325,60051,21,114,25077,12,32,5055,33,146,30132,28.21,44.92,50.18,"Marion","Oregon Department of Education","Oregon School for the Deaf",-
1889,"7/1/2007",24,2142,18,40106,60051,,15950,25077,,3188,5055,0,19138,30132,,47.72,50.18,"Marion","Salem-Keizer SD 24J","Chemeketa Community Transition Program",-
1890,"7/1/2007",24,2142,15,40106,60051,,15950,25077,,3188,5055,0,19138,30132,,47.72,50.18,"Marion","Salem-Keizer SD 24J","Centennial Community Transition Program",-
1914,"7/1/2007",3,1902,3,251,58537,,,11983,,,4183,0,0,16166,,,27.62,"Clackamas","Clackamas ESD","Lake Oswego Achievement",-
1942,"7/1/2007",5,1946,,1206,8636,,395,1715,,138,721,0,533,2436,0,44.2,28.21,"Columbia","Rainier SD 13","Rainier High TMR 9-12",-
1963,"7/1/2007",6,1949,13,13,8251,,,3108,,,871,0,0,3979,,,48.22,"Coos","South Coast ESD","Adult Transition",-
2026,"7/1/2007",15,2025,10,241,28866,,,9652,,,2456,0,0,12108,,,41.95,"Jackson","Southern Oregon ESD","Orchard Hill-STEPS",-
2027,"7/1/2007",15,2025,8,241,28866,,,9652,,,2456,0,0,12108,,,41.95,"Jackson","Southern Oregon ESD","Griffin Creek STEPS",-
2034,"7/1/2007",15,2025,11,241,28866,,,9652,,,2456,0,0,12108,,,41.95,"Jackson","Southern Oregon ESD","McLoughlin Middle High STEPS",-
2035,"7/1/2007",15,2025,15,241,28866,,,9652,,,2456,0,0,12108,,,41.95,"Jackson","Southern Oregon ESD","Crater High Special Education",-
2036,"7/1/2007",15,2025,14,241,28866,,,9652,,,2456,0,0,12108,,,41.95,"Jackson","Southern Oregon ESD","Eagle Point High-STEPS",-
2037,"7/1/2007",15,2025,11,241,28866,,,9652,,,2456,0,0,12108,,,41.95,"Jackson","Southern Oregon ESD","S Medford High Steps",-
2076,"7/1/2007",20,2064,6,25,46747,,,15531,,,3871,0,0,19402,,,41.5,"Lane","Lane ESD","Lane School",-
2158,"7/1/2007",26,2148,7,371,89783,,,35283,,,8073,0,0,43356,,,48.29,"Multnomah","Multnomah ESD","MESD Program at Harold Oliver Intermediate",-
2165,"7/1/2007",26,2148,44,371,89783,,,35283,,,8073,0,0,43356,,,48.29,"Multnomah","Multnomah ESD","MESD Program at Training and Education Center",-
2167,"7/1/2007",26,2148,9,371,89783,,,35283,,,8073,0,0,43356,,,48.29,"Multnomah","Multnomah ESD","MESD Program at Cleveland HS",-
2168,"7/1/2007",26,2148,8,371,89783,,,35283,,,8073,0,0,43356,,,48.29,"Multnomah","Multnomah ESD","MESD Program at David Douglas HS",-
2236,"7/1/2007",34,2230,28,297,83374,,,21488,,,5730,0,0,27218,,,32.65,"Washington","Northwest Regional ESD","Pacific Academy",-
2238,"7/1/2007",34,2230,40,297,83374,,,21488,,,5730,0,0,27218,,,32.65,"Washington","Northwest Regional ESD","West Slope Academy",-
2258,"7/1/2007",24,3477,45,858,60051,,,25077,,,5055,0,0,30132,,,50.18,"Marion","ODE YCEP District","Monroe School",-
2260,"7/1/2007",24,3477,105,858,60051,,,25077,,,5055,0,0,30132,,,50.18,"Marion","ODE YCEP District","Newbridge High School",-
2263,"7/1/2007",26,2182,720,11105,89783,183,5584,35283,72,1092,8073,255,6676,43356,35.42,60.12,48.29,"Multnomah","Reynolds SD 7","Walt Morey Middle School",-
2264,"7/1/2007",20,2088,679,5791,46747,144,2153,15531,38,677,3871,182,2830,19402,26.8,48.87,41.5,"Lane","Bethel SD 52","Meadow View School",-
2270,"7/1/2007",30,2207,19,3381,13545,9,1126,6154,8,330,1432,17,1456,7586,89.47,43.06,56.01,"Umatilla","Pendleton SD 16","Homestead Youth & Family Services",-
2273,"7/1/2007",34,2242,11,12740,83374,,2623,21488,,619,5730,0,3242,27218,,25.45,32.65,"Washington","Tigard-Tualatin SD 23J","Janus Youth Programs--Cordero House",-
2275,"7/1/2007",26,2180,19,44496,89783,,15761,35283,,3414,8073,0,19175,43356,,43.09,48.29,"Multnomah","Portland SD 1J","Morrison Child & Family Services, Breakthrough",-
2283,"7/1/2007",3,1902,,251,58537,,,11983,,,4183,0,0,16166,0,,27.62,"Clackamas","Clackamas ESD","Clackamas ESD EI/ECSE (Area 9)",-
2286,"7/1/2007",34,2230,,297,83374,,,21488,,,5730,0,0,27218,0,,32.65,"Washington","Northwest Regional ESD","Northwest Regional Education Service District, Columbia Serv",-
2287,"7/1/2007",22,2323,,,20497,,,6667,,,1641,0,,8308,0,,40.53,"Linn","Linn-Benton-Lincoln ESD EI/ECSE (Area 4)","South Coast ESD EI/ECSE - Coos/Curry",-
2293,"7/1/2007",9,1975,,,24176,,,6126,,,1962,0,,8088,0,,33.45,"Deschutes","High Desert ESD","Central Oregon Regional Program",-
2294,"7/1/2007",9,1975,,,24176,,,6126,,,1962,0,,8088,0,,33.45,"Deschutes","High Desert ESD","High Desert ESD EI/ECSE - Deschutes (Area 2)",-
2295,"7/1/2007",10,1980,,27,15523,,,5719,,,1524,0,0,7243,0,,46.66,"Douglas","Douglas ESD","Douglas ESD EI/ECSE (Area 3)",-
2296,"7/1/2007",9,2294,,,24176,,,6126,,,1962,0,,8088,0,,33.45,"Deschutes","High Desert ESD EI/ECSE - Deschutes (Area 2)","North Central ESD EI/ECSE - Gilliam",-
2298,"7/1/2007",9,2294,,,24176,,,6126,,,1962,0,,8088,0,,33.45,"Deschutes","High Desert ESD EI/ECSE - Deschutes (Area 2)","Harney ESD EI/ECSE",-
2299,"7/1/2007",26,2342,,,89783,,,35283,,,8073,0,,43356,0,,48.29,"Multnomah","David Douglas School District EI/ECSE (Area 6)","Hood River County SD - EI/ECSE",-
2300,"7/1/2007",14,2024,20,3968,3968,,1752,1752,,428,428,0,2180,2180,,54.94,54.94,"Hood River","Hood River County SD","The Next Door",-
2303,"7/1/2007",15,2025,,241,28866,,,9652,,,2456,0,0,12108,0,,41.95,"Jackson","Southern Oregon ESD","Southern Oregon Regional Program",-
3167,"7/1/2008",26,2180,,43362,88193,,15449,36734,,3377,7886,0,18826,44620,0,43.42,50.59,"Multnomah","Portland SD 1J","Portland Evening High School at Benson",-
3168,"7/1/2008",26,2148,45,404,88193,33,152,36734,8,11,7886,41,163,44620,91.11,40.35,50.59,"Multnomah","Multnomah ESD","The Creeks",-
3198,"7/1/2008",3,1924,553,17772,58268,89,4743,13754,35,1604,4377,124,6347,18131,22.42,35.71,31.12,"Clackamas","North Clackamas SD 12","Spring Mountain Elementary School",-
3215,"7/1/2008",24,2142,352,40200,60158,181,19199,28633,47,3978,5889,228,23177,34522,64.77,57.65,57.39,"Marion","Salem-Keizer SD 24J","Miller Elementary School",-
3216,"7/1/2008",9,1976,1314,15693,24334,196,4927,7646,68,1480,2236,264,6407,9882,20.09,40.83,40.61,"Deschutes","Bend-LaPine Administrative SD 1","Summit High School",-
3217,"7/1/2008",9,1976,682,15693,24334,170,4927,7646,69,1480,2236,239,6407,9882,35.04,40.83,40.61,"Deschutes","Bend-LaPine Administrative SD 1","Sky View Middle School",-
3218,"7/1/2008",9,1976,909,15693,24334,106,4927,7646,29,1480,2236,135,6407,9882,14.85,40.83,40.61,"Deschutes","Bend-LaPine Administrative SD 1","High Lakes Elementary School",-
3219,"7/1/2008",9,1976,374,15693,24334,17,4927,7646,18,1480,2236,35,6407,9882,9.36,40.83,40.61,"Deschutes","Bend-LaPine Administrative SD 1","Highland School at Kenwood Elementary School",-
3221,"7/1/2008",9,1976,211,15693,24334,67,4927,7646,19,1480,2236,86,6407,9882,40.76,40.83,40.61,"Deschutes","Bend-LaPine Administrative SD 1","Westside Village Magnet School at Kingston Elementary School",-
3222,"7/1/2008",34,2244,728,4538,83118,41,434,23377,15,188,5780,56,622,29157,7.69,13.71,35.08,"Washington","Sherwood SD 88J","Middleton Elementary School",-
3227,"7/1/2008",6,1965,50,3506,8404,,1667,3613,,454,878,0,2121,4491,,60.5,53.44,"Coos","Coos Bay SD 9","Destinations Academy",-
3229,"7/1/2008",20,2082,201,17661,45929,75,4957,15999,18,1149,3889,93,6106,19888,46.27,34.57,43.3,"Lane","Eugene SD 4J","Village School",-
3233,"7/1/2008",20,2082,240,17661,45929,50,4957,15999,6,1149,3889,56,6106,19888,23.33,34.57,43.3,"Lane","Eugene SD 4J","Ridgeline Montessori",-
3240,"7/1/2008",21,2097,58,5373,5373,16,2526,2526,,607,607,21,3133,3133,,58.31,58.31,"Lincoln","Lincoln County SD","Lincoln City Career Technical High School",-
3243,"7/1/2008",24,2142,,40200,60158,,19199,28633,,3978,5889,0,23177,34522,0,57.65,57.39,"Marion","Salem-Keizer SD 24J","Micah Community Transition Program",-
3247,"7/1/2008",15,2039,107,2823,28115,45,1373,10990,,231,2657,50,1604,13647,,56.82,48.54,"Jackson","Phoenix-Talent SD 4","Armadillo Technical Institute",-
3250,"7/1/2008",15,2041,,2890,28115,,632,10990,,122,2657,0,754,13647,0,26.09,48.54,"Jackson","Ashland SD 5","Community Learning Center-Willow Wind",-
3252,"7/1/2008",3,1902,,214,58268,,,13754,,,4377,0,0,18131,0,,31.12,"Clackamas","Clackamas ESD","Hallinan Program",-
3254,"7/1/2008",3,1902,,214,58268,,,13754,,,4377,0,0,18131,0,,31.12,"Clackamas","Clackamas ESD","Seth Lewelling Program",-
3255,"7/1/2008",3,1902,,214,58268,,,13754,,,4377,0,0,18131,0,,31.12,"Clackamas","Clackamas ESD","McLoughlin Program",-
