DistInstID,SchlYr,CntyNm,DistNm,BldgNm,DistStudCnt,YrBlt,YrRemod,SqFt,DistSqFt,last column
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","FAIRPLAY ELEMENTARY",7459,1948,1985,24046,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","FRANKLIN RESOURCE CENTER",7459,1947,1982,35944,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","GARFIELD ELEMENTARY",7459,1955,1987,45916,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","HIGHLAND VIEW MIDDLE",7459,1957,1988,88065,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","HARDING ELEMENTARY",7459,1923,1988,46464,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","HOOVER ELEMENTARY",7459,1968,1998,40185,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","INAVALE ELEMENTARY",7459,1950,1982,16032,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","JEFFERSON ELEMENTARY",7459,1960,1987,44057,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","LINCOLN ELEMENTARY",7459,1949,1988,41054,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","MOUNTAIN VIEW ELEMENTARY",7459,1954,1988,47393,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","WESTERN VIEW MIDDLE",7459,1960,1988,92967,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","WILSON ELEMENTARY",7459,1962,1967,46344,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","CORVALLIS HIGH",7459,1935,1984,240095,1296260,-
1901,"7/1/2000","BENTON","CORVALLIS SCH DIST 509J","CRESCENT VALLEY HIGH",7459,1971,,247071,1296260,-
1929,"7/1/2000","CLACKAMAS","CANBY SCH DIST 086","CARUS-HISTORICAL BUILDING",5280,1929,2000,4760,794178,-
2186,"7/1/2000","MULTNOMAH","Corbett SD 39","CORBETT MULTI-PURPOSE",576,1961,1994,16022,148064,-
2186,"7/1/2000","MULTNOMAH","Corbett SD 39","CORBETT BUS MAINTENANCE GARAGE",576,1961,,3200,148064,-
2186,"7/1/2000","MULTNOMAH","Corbett SD 39","CORBETT MIDDLE",576,1976,1999,21283,148064,-
2186,"7/1/2000","MULTNOMAH","Corbett SD 39","SPRING DALE ELEM/STORAGE SHED",576,1929,1999,14228,148064,-
2186,"7/1/2000","MULTNOMAH","Corbett SD 39","CORBETT HIGH",576,1929,1989,18313,148064,-
2186,"7/1/2000","MULTNOMAH","Corbett SD 39","CORBETT PE AND INDUSTRIAL ARTS",576,1945,,27018,148064,-
2186,"7/1/2000","MULTNOMAH","Corbett SD 39","CORBETT GRADE SCHOOL",576,1994,,48000,148064,-
1964,"7/1/2000","COOS","COQUILLE SCH DIST 8","COQUILLE ADMINISTRATION (not in use)",1076,1926,,15768,275783,-
1964,"7/1/2000","COOS","COQUILLE SCH DIST 8","WASHINGTON SCHOOL",1076,1939,1951,20041,275783,-
1964,"7/1/2000","COOS","COQUILLE SCH DIST 8","COQUILLE VALLEY MIDDLE",1076,1972,,68064,275783,-
1964,"7/1/2000","COOS","COQUILLE SCH DIST 8","JEFFERSON ELEMENTARY",1076,1956,,25400,275783,-
1964,"7/1/2000","COOS","COQUILLE SCH DIST 8","LINCOLN ELEMENTARY",1076,1965,1972,34408,275783,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","DURHAM ELEMENTARY",11353,1989,1996,63175,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","JAMES TEMPLETON ELEMENTARY",11353,1965,1996,48798,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","METZGER ELEMENTARY",11353,1950,1988,52874,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","EDWARD BYROM ELEMENTARY",11353,1980,,59435,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TUALATIN ELEMENTARY",11353,1930,1996,59680,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","THOMAS R FOWLER JR HIGH",11353,1975,1989,124488,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TWALITY JR HIGH",11353,1950,1996,113954,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","HAZELBROOK MIDDLE SCHOOL",11353,1992,,104200,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TIGARD HIGH",11353,1950,1998,269639,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TIGARD HIGH-STADIUM",11353,1975,,,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TIGARD HIGH- SWIM CENTER",11353,1965,1999,12800,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TIGARD HIGH -AUDITORIUM",11353,1985,,,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TUALATIN HIGH",11353,1992,,221682,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TUALATIN HIGH- SWIM CENTER",11353,1998,,16300,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TUALATIN HIGH- AUDITORIUM",11353,1998,,17654,1438509,-
2242,"7/1/1999","WASHINGTON","Tigard-Tualatin SD 23J","TUALATIN HIGH-STADIUM",11353,1998,,,1438509,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","JOSEPHINE COUNTY-MAINT/BUS SHP",6112,1945,,11270,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","JOSEPHINE COUNTY DIST WAREHSE",6112,1976,,7500,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","EVERGREEN ELEMENTARY",6112,1951,1966,59342,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","FLEMING MIDDLE",6112,1962,1978,76245,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","FRUITDALE ELEMENTARY",6112,1947,1972,31109,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","FORT VANNOY ELEMENTARY",6112,1952,1979,40000,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","JEROME PRAIRIE ELEMENTARY",6112,1938,1971,30838,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","APPLEGATE ELEMENTARY",6112,1912,1980,23759,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","LINCOLN SAVAGE MIDDLE",6112,1962,,71583,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","LORNA BYRNE MIDDLE",6112,1949,1966,57418,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","MADRONA ELEMENTARY",6112,1967,1986,37816,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","MANZANITA ELEMENTARY",6112,1966,,48649,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","MERLIN ELEMENTARY",6112,1953,1963,14716,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","MURPHY (District Office)",6112,1947,1955,24090,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","SELMA ELEMENTARY",6112,1955,1993,19956,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","WILLIAMS ELEMENTARY",6112,1927,1957,21631,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","WOLF CREEK ELEMENTARY",6112,1938,1954,15219,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","HIDDEN VALLEY HIGH",6112,1976,1995,144206,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","ILLINOIS VALLEY HIGH",6112,1975,1995,99804,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","NORTH VALLEY HIGH",6112,1976,1996,136157,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","EVERGREEN BUS SHOP",6112,1965,1997,1920,976106,-
2055,"7/1/1999","JOSEPHINE","THREE RIVERS SCH DIST","HIDDEN VALLEY ALTERNATIVE HOUSE",6112,1965,,2878,976106,-
2227,"7/1/1999","WASCO","THE DALLES SCH DIST 12","QUINTON FIELD-THE DALLES",2037,1940,,3600,415850,-
