DistInstID,SchlYr,CntyNm,DistNm,BldgNm,DistStudCnt,YrBlt,YrRemod,SqFt,DistSqFt,last column
2183,"7/1/2001","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","Hall Elementary Portable (4)",11632,1986,1986,3360,1681568,-
2094,"7/1/2001","LANE","Marcola SD 79J","Mohawk High School",317,1967,1998,39834,70641,-
2256,"7/1/1999","YAMHILL","MCMINNVILLE SCH DIST 40","PATTON MIDDLE",5383,1977,1999,136600,788421,-
2183,"7/1/1999","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","DEXTER MCCARTY MIDDLE",11302,1968,1997,107623,1378742,-
2183,"7/1/1999","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","EAST GRESHAM ELEMENTARY",11302,1950,1993,68391,1378742,-
2183,"7/1/1999","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","GORDON RUSSELL MIDDLE",11302,1978,1997,111628,1378742,-
2183,"7/1/1999","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","HIGHLAND ELEMENTARY",11302,1971,1999,58944,1378742,-
2183,"7/1/1999","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","HALL ELEMENTARY",11302,1980,1998,58804,1378742,-
2183,"7/1/1999","MULTNOMAH","GRESHAM-BARLOW SCH DIST 10J","HOLLYDALE ELEMENTARY",11302,1979,1998,57113,1378742,-
2001,"7/1/1999","DOUGLAS","REEDSPORT SCH DIST 105","Warehouse",943,1979,,10000,245481,-
2220,"7/1/1999","WALLOWA","WALLOWA SCH DIST 12","Preschool Main Building",367,1972,,,75968,-
2256,"7/1/1999","YAMHILL","MCMINNVILLE SCH DIST 40","MEMORIAL ELEMENTARY",5383,1945,1998,52946,788421,-
2256,"7/1/1999","YAMHILL","MCMINNVILLE SCH DIST 40","NEWBY ELEMENTARY",5383,1961,1998,28006,788421,-
2256,"7/1/1999","YAMHILL","MCMINNVILLE SCH DIST 40","COLUMBUS ELEMENTARY",5383,1993,,69600,788421,-
2256,"7/1/1999","YAMHILL","MCMINNVILLE SCH DIST 40","GRANDHAVEN ELEMENTARY",5383,1999,,69000,788421,-
2256,"7/1/1999","YAMHILL","MCMINNVILLE SCH DIST 40","EVANS ST. LEARNING CENTER",5383,1975,,6556,788421,-
2256,"7/1/1999","YAMHILL","MCMINNVILLE SCH DIST 40","MCMINNVILLE HIGH",5383,1945,1998,216884,788421,-
2256,"7/1/1999","YAMHILL","MCMINNVILLE SCH DIST 40","DUNIWAY MIDDLE",5383,1993,1999,81860,788421,-
1924,"7/1/1999","CLACKAMAS","NORTH CLACKAMAS SCH DIST 12","Clackamas High",14615,1957,1991,145694,1704742,-
